id,name,lat,lng
8029525,Schorndorf,48.80715,9.52631
8019063,Alsheim,49.765528,8.342462
8530011,Les Coeudres-Est,47.028766,6.789469
8530012,Petit-Martel-Est,47.013675,6.765242
8025295,Baltersweiler,49.493784999999995,7.166538
8019073,Frankenthal Hbf,49.535567,8.349702
8039347,Konstanz Wollmatingen,47.682453,9.147331
8530064,Bex Pont-Neuf,46.25052,7.020836
8530066,Grand-Moulin,46.252615999999996,7.023231
8530067,Les Salines,46.254836,7.027649
8029537,Plüderhausen,48.796684,9.595853
8530225,Le Stand,47.005129,6.745586
8530246,Foyer Dents-du-Midi,46.256391,7.029855
8530260,Le Locle Le Chalet,47.05584,6.738835000000001
8530261,Bois-de-Chexbres,46.473273999999996,6.901538
8530262,St-Eloi,46.720298,6.532572
8530263,Yverdon William Barbey,46.788845,6.631625
8029369,Leinfelden,48.696506,9.142866
8530303,Les Fumeaux,46.120492999999996,7.052764999999999
8530334,La Médettaz,46.108834,7.007839
8530335,Aigle-Hôpital,46.310468,6.966059
8530355,Les Arnoux,46.291305,6.996786999999999
8530366,Pont du Rhône,46.276149,6.961791000000001
8530378,Les Neys,46.236018,6.924795
8530430,Route de Morgins,46.231796,6.920272
8530463,En Charnet,46.197014,6.887026
8530523,La Ruaz,46.25308,7.007731
8503421,Jestetten,47.654401,8.573273
8530612,Realp DFB,46.595667,8.501272
8530613,Tiefenbach DFB,46.587547,8.464628
8530614,Furka DFB,46.576208,8.428457
8501502,Saxon,46.149377,7.173433999999999
8530708,"Neuchâtel, Evole",46.989678000000005,6.923374000000001
8530709,"Neuchâtel, Champ-Bougin",46.984555,6.9122770000000004
8530710,"Neuchâtel, Serrières Ruau",46.980084999999995,6.897087
8530711,Colombier NE Allées Littorail,46.968068,6.869509
8530712,"Colombier NE, Les Chézards",46.960834999999996,6.863949000000001
8530713,"Boudry, Tuilière",46.951462,6.842860000000001
8530749,"Renens VD, gare",46.537482000000004,6.5780710000000004
8530760,Aareschlucht West,46.721253000000004,8.198578
8029577,Backnang,48.942676,9.425989
8530783,Chez-le-Maître-Ecoles,46.599332000000004,6.221959
8530789,Bioggio Molinazzo,46.012366,8.914007000000002
8530790,Sorengo Laghetto,45.996815999999995,8.933338000000001
8029374,Stuttgart Feuersee,48.772768,9.166273
8530799,Meiringen Alpbach,46.723118,8.190010000000001
8530800,Innertkirchen Unterwasser,46.708104,8.226078
8530801,Aareschlucht Ost MIB,46.712001,8.217895
8530811,Zürich Balgrist,47.354578000000004,8.57502
8530812,Zürich Hegibachplatz,47.36169,8.560623
8530813,Zürich Kreuzplatz,47.364875,8.554083
8530832,Pied du barrage,46.065875,6.935292
8503016,Zürich Flughafen,47.450383,8.562386
8014555,Welschingen-Neuhausen,47.83403,8.769216
8014198,Bad Wimpfen,49.229744000000004,9.167297
8504130,Yvonand,46.800864000000004,6.746686
8506101,Felben-Wellhausen,47.577102000000004,8.94316
8508262,Walkringen,46.947668,7.618993
8014511,Hornberg (Schwarzw),48.211895,8.23294
8029445,Rutesheim,48.790017,8.95955
8718206,Mulhouse Ville,47.741953,7.343048
8062853,Hinterweidenthal-Ort,49.197497999999996,7.7505679999999995
8029580,Oppenweiler (Württ),48.981518,9.462785
8503303,Illnau,47.40882,8.722703
8501504,Chamoson,46.188836,7.241098
8504224,Cressier NE,47.05194,7.0395259999999995
8509073,Davos Platz,46.791467,9.820725
8007281,Karlsruhe Hagsfeld,49.025938000000004,8.453645
8022534,Würzburg Hbf,49.801796,9.935780000000001
8019406,Weidenthal,49.417494,7.994911999999999
8718284,Bantzenheim,47.817178000000006,7.537418
8025422,Sulzbach (Saar),49.299561,7.0550619999999995
8503240,Linthal Braunwaldbahn,46.928394,9.002483
8029521,Grunbach,48.810359999999996,9.420029
8007486,Neidenfels (D),49.386201,8.045236000000001
8007507,Hinterweidenthal-Ost,49.203132000000004,7.773047
8503236,Luchsingen-Hätzingen,46.965065,9.039008
8509157,Arosa,46.783296,9.679333
8501110,Ependes,46.74641,6.607658
8502222,Bonstetten-Wettswil,47.325896,8.468175
8503404,Rafz,47.603790000000004,8.543425
8503305,Effretikon,47.425810999999996,8.686662
8508203,Zäziwil,46.899745,7.662876
8503010,Zürich Enge,47.364098999999996,8.530805
8504482,Gampelen,47.00936,7.056439999999999
8509411,Sargans,47.045364,9.445395
8501422,Collombey,46.271181,6.948759
8014469,Laufenburg (Baden) Ost,47.566163,8.073691
8014586,Konstanz,47.658753999999995,9.177311999999999
8503411,Koblenz Dorf,47.609384000000006,8.240138
8019054,Mainz Römisches Theater,49.993465,8.277565
8025482,Einöd(Saar),49.266663,7.321916000000001
8500100,Tavannes,47.219839,7.201633999999999
8506019,Islikon,47.547836,8.84618
8503127,Schwerzenbach ZH,47.384381,8.658659
8029587,Gaildorf West,49.003822,9.753892
8502116,Schinznach Bad,47.451776,8.166928
8020347,München Hbf,48.140232,11.558335000000001
8508054,Worblaufen,46.978840000000005,7.457623
8019358,Mussbach,49.371959999999994,8.168529
8019707,Kindsbach,49.419371000000005,7.612836
8502272,Bremgarten West,47.345582,8.337309
8505219,Lamone-Cadempino,46.039721,8.932122
8507297,Oey-Diemtigen,46.659988,7.579325
8503011,Zürich Wiedikon,47.371472,8.523462
8019385,Weisenheim(Sand),49.513931,8.249874
8507287,Burgholz,46.666484000000004,7.605580000000001
8011296,Darmstadt-Eberstadt,49.813922,8.62582
8506216,Kradolf,47.52472,9.201557000000001
8029027,Stuttgart-Zazenhausen,48.836034000000005,9.199539
8503317,Schöfflisdorf-Oberweningen,47.497971,8.411793
8019051,Mainz Hbf,50.001117,8.25872
8029061,Reichenbach an der Fils,48.707945,9.463745
8029743,Osterburken,49.429657,9.422692
8014350,Freiburg (Breisgau) Hbf,47.997696999999995,7.84117
8500266,Corcelles BE,47.285619,7.4503509999999995
8505114,Erstfeld,46.820341,8.650442
8500294,Balsthal,47.312889,7.693913
8502270,Bergfrieden,47.397714,8.399086
8014126,Mosbach-Neckarelz,49.348484,9.113093
8505201,Airolo,46.527527,8.608605
8029754,Lauda,49.565385,9.709512
8014408,Bad Krozingen,47.919721,7.6976320000000005
8019661,Altenglan,49.548643,7.461841000000001
8080251,Konstanz-Fürstenberg,47.677479,9.162847
8014465,Wehr-Brennet,47.58092,7.910525
8501122,Lutry,46.503778999999994,6.690611
8500141,Courchavon,47.439762,7.057635
8500109,Delémont,47.362001,7.350053
8501404,Evionnaz,46.169243,7.025525999999999
8014156,Bödigheim,49.475929,9.317207000000002
8014164,Buchen Ost,49.519152000000005,9.332137
8505174,Dieni,46.669934000000005,8.742866000000001
8029512,Stuttgart Nürnberger Str.,48.806422999999995,9.234858000000001
8022721,Heilsbronn,49.34595,10.791053
8503000,Zürich HB,47.378177,8.540192
8500320,Stein-Säckingen,47.541596999999996,7.948822
8504301,Frinvillier-Taubenloch,47.169445,7.2575199999999995
8014471,Albbruck,47.592234999999995,8.131774
8502007,Sursee,47.170789,8.097877
8029444,Leonberg,48.799646,9.003853
